name_eng_x,date_of_birth,url_x,name_new,name_kor,name_eng_y,url_y
Kwang-Min Kwon,1997-12-12,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000kwa,kwang min kwon,권광민,Kwang-Min Kwon,https://statiz.sporki.com/player/?m=playerinfo&p_no=13676
Chung Ho Lee,1994-09-20,https://www.baseball-reference.com/register/player.fcgi?id=lee---003chu,chung ho lee,이충호,Chung-Ho Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=11116
Do Yun Lee,1996-10-07,https://www.baseball-reference.com/register/player.fcgi?id=lee---001do-,do yun lee,이도윤,Do-Yun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=11414
Jae Won Lee,1988-02-24,https://www.baseball-reference.com/register/player.fcgi?id=lee---005jae,jae won lee,이재원,Jae-Won Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=10082
Jin Young Lee,1997-07-21,https://www.baseball-reference.com/register/player.fcgi?id=lee---004jin,jin yeong lee,이진영,Jin-Young Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=12539
Min Woo Lee,1993-02-09,https://www.baseball-reference.com/register/player.fcgi?id=lee---006min,min woo lee,이민우,Min-Woo Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13003
Myung Ki Lee,1987-12-26,https://www.baseball-reference.com/register/player.fcgi?id=lee---000mye,myeong ki lee,이명기,Myung-Ki Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=10119
Sang Hyuk Lee,2001-09-14,https://www.baseball-reference.com/register/player.fcgi?id=lee---030san,sang hyeok lee,이상혁,Sang-Hyeok Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=15139
Sang Kyu Lee,1996-10-20,https://www.baseball-reference.com/register/player.fcgi?id=lee---027san,sang kyu lee,이상규,Sang-Kyu Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13245
Tae Yang Lee,1990-07-03,https://www.baseball-reference.com/register/player.fcgi?id=lee---003tae,tae yang lee,이태양,Tae-Yang Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=10609
Won Seok Lee,1999-03-31,https://www.baseball-reference.com/register/player.fcgi?id=lee---010won,won seok lee,이원석,Won-Seok Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13138
Jong Chan Lim,2001-09-28,https://www.baseball-reference.com/register/player.fcgi?id=lim---002jon,jong chan lim,임종찬,Jong-Chan Lim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14706
Dong Ju Moon,2003-12-23,https://www.baseball-reference.com/register/player.fcgi?id=moon--002don,dong joo moon,문동주,Dong-Ju Moon,https://statiz.sporki.com/player/?m=playerinfo&p_no=15013
Hyun Bin Moon,2004-04-20,https://www.baseball-reference.com/register/player.fcgi?id=moon--000hyu,hyeon bin moon,문현빈,Hyun-Bin Moon,https://statiz.sporki.com/player/?m=playerinfo&p_no=15422
Ji Min Nam,2001-02-12,https://www.baseball-reference.com/register/player.fcgi?id=nam---000jim,ji min nam,남지민,Ji-Min Nam,https://statiz.sporki.com/player/?m=playerinfo&p_no=14619
Sang Un Park,1997-03-03,https://www.baseball-reference.com/register/player.fcgi?id=park--007san,sang eon park,박상언,Sang-Un Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=12587
Sang-won Park,1994-09-09,https://www.baseball-reference.com/register/player.fcgi?id=park--006san,sang won park,박상원,Sang-Won Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=12871
Si Hwan Roh,2000-12-03,https://www.baseball-reference.com/register/player.fcgi?id=noh---000si-,si hwan noh,노시환,Si-Hwan Roh,https://statiz.sporki.com/player/?m=playerinfo&p_no=14125
Hyun Jin Ryu,1987-03-25,https://www.baseball-reference.com/register/player.fcgi?id=ryu---000hye,hyeon jin ryu,류현진,Hyun-Jin Ryu,https://statiz.sporki.com/player/?m=playerinfo&p_no=10590
Ryan Weiss,1996-12-10,https://www.baseball-reference.com/register/player.fcgi?id=weiss-000rya,ryan weiss,와이스,Ryan Weiss,https://statiz.sporki.com/player/?m=playerinfo&p_no=16153
Jang Hyeok Yoo,2000-05-30,https://www.baseball-reference.com/register/player.fcgi?id=yoo---000jan,ro kyeol yoo,유로결,Ro-Kyeol Yoo,https://statiz.sporki.com/player/?m=playerinfo&p_no=14126
Dae Kyung Yun,1994-04-09,https://www.baseball-reference.com/register/player.fcgi?id=yoon--000dae,dae kyeong yoon,윤대경,Dae-Kyung Yun,https://statiz.sporki.com/player/?m=playerinfo&p_no=11110
Cam Alldred,1996-07-25,https://www.baseball-reference.com/register/player.fcgi?id=alldre000cam,cam alldred,알드레드,Cam Alldred,https://statiz.sporki.com/player/?m=playerinfo&p_no=16151
Woo-hyuk Byun,2000-03-18,https://www.baseball-reference.com/register/player.fcgi?id=byun--000woo,woo hyeok byeon,변우혁,Woo-Hyuk Byun,https://statiz.sporki.com/player/?m=playerinfo&p_no=14124
Hyoung Woo Choi,1983-12-16,https://www.baseball-reference.com/register/player.fcgi?id=choi--000hyo,hyeong woo choi,최형우,Hyung-Woo Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=10344
Jeong Yong Choi,1996-10-24,https://www.baseball-reference.com/register/player.fcgi?id=choi--004jeo,jeong yong choi,최정용,Jeong-Yong Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=11407
Ji Min Choi,2003-09-10,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jim,ji min choi,최지민,Ji-Min Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=15057
Won Jun Choi,1997-03-23,https://www.baseball-reference.com/register/player.fcgi?id=choi--004won,won jun choi,최원준,Won-Jun Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=12534
Seung Taek Han,1994-06-21,https://www.baseball-reference.com/register/player.fcgi?id=han---001seu,seung taek han,한승택,Seung-Taek Han,https://statiz.sporki.com/player/?m=playerinfo&p_no=11119
Jong Pyo Hong,2000-05-02,https://www.baseball-reference.com/register/player.fcgi?id=hong--000jon,jong pyo hong,홍종표,Jong-Pyo Hong,https://statiz.sporki.com/player/?m=playerinfo&p_no=14612
Dae In Hwang,1996-02-10,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001dae,dae in hwang,황대인,Dae-In Hwang,https://statiz.sporki.com/player/?m=playerinfo&p_no=11306
Dong Ha Hwang,2002-07-30,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001don,dong ha hwang,황동하,Dong-ha Hwang,https://statiz.sporki.com/player/?m=playerinfo&p_no=15063
Gi Yeong Im,1993-04-16,https://www.baseball-reference.com/register/player.fcgi?id=lim---000ki-,ki yeong lim,임기영,Gi-Yeong Im,https://statiz.sporki.com/player/?m=playerinfo&p_no=10909
Hyun Sik Jang,1995-02-24,https://www.baseball-reference.com/register/player.fcgi?id=jang--000hye,hyeon sik jang,장현식,Hyeon-Sik Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=11164
Jae Hyouk Jang,2001-08-02,https://www.baseball-reference.com/register/player.fcgi?id=jang--005jae,jae hyeok jang,장재혁,Jae-Hyeok Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=14657
Sang Hyun Jeon,1996-04-18,https://www.baseball-reference.com/register/player.fcgi?id=jeon--001san,sang hyeon jeon,전상현,Sang-Hyun Jeon,https://statiz.sporki.com/player/?m=playerinfo&p_no=12537
Hai Young Jung,2001-08-23,https://www.baseball-reference.com/register/player.fcgi?id=jung--000hai,hae yeong jeong,정해영,Hae-Young Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=14608
Dae Yu Kim,1991-05-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---003dae,dae yoo kim,김대유,Dae-Yu Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=10706
Do Yeong Kim,2003-10-02,https://www.baseball-reference.com/register/player.fcgi?id=kim---001doy,do yeong kim,김도영,Do-Yeong Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=15056
Doo Hyun Kim,2003-04-25,https://www.baseball-reference.com/register/player.fcgi?id=kim---000doo,doo hyeon kim,김두현,Doo-hyun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=16086
Ho Ryung Kim,1992-04-30,https://www.baseball-reference.com/register/player.fcgi?id=kim---003ho-,ho ryeong kim,김호령,Ho-Ryeong Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=11298
Ki-hoon Kim,2000-01-03,https://www.baseball-reference.com/register/player.fcgi?id=kim---001ki-,ki hoon kim,김기훈,Ki-Hoon Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14176
Kyu Sung Kim,1997-03-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---005kyu,kyu seong kim,김규성,Kyu-Sung Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=12540
Min Jae Kim,2003-07-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---033min,min jae kim,김민재,Min-jae Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=16083
Min Ju Kim,2002-09-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---035min,min joo kim,김민주,Min-ju Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=16082
Seung-hyun Kim,1992-07-09,https://www.baseball-reference.com/register/player.fcgi?id=kim---005seu,seung hyeon kim,김승현,Seung-Hyun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=12637
Sun Bin Kim,1989-12-18,https://www.baseball-reference.com/register/player.fcgi?id=kim---002seo,sun bin kim,김선빈,Sun-Bin Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=10008
Yi Hwan Kim,2000-09-15,https://www.baseball-reference.com/register/player.fcgi?id=kim---000yih,do hyeon kim,김도현,Do-Hyun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14128
Jong Wook Ko,1989-01-11,https://www.baseball-reference.com/register/player.fcgi?id=ko----000jon,jong wook ko,고종욱,Jong-Wook Ko,https://statiz.sporki.com/player/?m=playerinfo&p_no=10659
Do Gyu Kwak,2004-04-12,https://www.baseball-reference.com/register/player.fcgi?id=kwak--000dog,do kyu kwak,곽도규,Do-Gyu Gwak,https://statiz.sporki.com/player/?m=playerinfo&p_no=15435
Eric Lauer,1995-06-03,https://www.baseball-reference.com/register/player.fcgi?id=lauer-000eri,eric lauer,라우어,Eric Lauer,https://statiz.sporki.com/player/?m=playerinfo&p_no=16161
Chang Jin Lee,1991-03-04,https://www.baseball-reference.com/register/player.fcgi?id=lee---012cha,chang jin lee,이창진,Chang-Jin Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=11233
Eui Lee Lee,2002-06-16,https://www.baseball-reference.com/register/player.fcgi?id=lee---000eui,eui lee lee,이의리,Eui-Lee Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=14788
