Id,URL,Player,Age,Born,Position,BatThrow,HtWt,Career,Draft,Season,Team,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SF,SH,E,AVG,SLG,OBP,OPS
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,24,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1987,삼성,104,401,352,57,101,17,2,2,128,28,8,4,39,3,34,8,1,6,13,0.287,0.364,0.362,0.726
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,25,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1988,삼성,47,134,116,18,35,4,1,0,41,11,5,2,11,0,15,1,3,4,5,0.302,0.353,0.354,0.707
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,26,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1989,삼성,113,380,329,39,81,15,3,5,117,38,14,3,31,2,56,4,5,13,18,0.246,0.356,0.311,0.667
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,27,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1990,삼성,120,503,425,70,132,22,5,6,182,45,23,8,50,10,55,6,2,16,12,0.311,0.428,0.394,0.822
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,28,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1991,삼성,90,393,344,59,98,14,4,5,135,45,19,7,34,4,54,10,4,7,15,0.285,0.392,0.352,0.744
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,29,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1992,삼성,104,341,294,43,62,12,1,5,91,27,8,2,35,3,42,6,1,8,16,0.211,0.31,0.3,0.61
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,30,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1993,삼성,107,444,377,58,106,13,1,8,145,45,6,4,57,3,44,9,2,5,8,0.281,0.385,0.378,0.763
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,31,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1994,삼성,36,152,131,22,43,8,3,4,69,22,5,1,16,2,19,4,2,1,9,0.328,0.527,0.404,0.931
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,32,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1995,삼성,64,172,155,11,35,11,1,0,48,10,2,1,8,3,27,2,0,6,12,0.226,0.31,0.277,0.587
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,33,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1996,삼성,111,413,355,37,87,13,2,2,110,35,13,5,40,4,66,6,2,12,8,0.245,0.31,0.327,0.637
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,34,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1997,삼성,79,248,215,34,52,13,0,8,89,34,1,3,23,2,43,4,0,8,4,0.242,0.414,0.321,0.735
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,35,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1998,삼성,64,158,140,14,28,8,0,0,36,13,4,0,13,1,38,1,1,3,4,0.2,0.257,0.271,0.528
87470,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=87470,류중일,36,1963-04-28,SS,R/R,176cm/74kg,삼덕초-대구중-경북고-한양대-삼성,,1999,삼성,56,70,60,13,14,1,0,0,15,6,1,0,6,1,14,1,0,3,3,0.233,0.25,0.313,0.563
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,18,1994-01-13,SS,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2012,두산,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,2.0
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,21,1994-01-13,SS,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2015,두산,14,5,5,3,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.2,0.2,0.2,0.4
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,22,1994-01-13,SS,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2016,두산,90,134,118,34,34,5,0,3,48,9,3,2,10,3,28,0,1,2,2,0.288,0.407,0.356,0.763
