gameId,gameDate,homeTeam,awayTeam,homeScore,awayScore
20210622HHSS02021,20210622,SS,HH,9,0
20210622LGSK02021,20210622,SK,LG,1,14
20210622NCLT02021,20210622,LT,NC,2,5
20210622WOOB02021,20210622,OB,WO,10,3
20210623UBASEBALL1,20210623,,,0,0
20210623FU1,20210623,,,0,0
20210622UBASEBALL2,20210623,,,0,0
20210623HHSS02021,20210623,SS,HH,3,0
20210623RDS1,20210623,,,0,0
20210623LGSK02021,20210623,SK,LG,7,4
20210623HTKT02021,20210623,KT,HT,1,2
20210623NCLT02021,20210623,LT,NC,13,7
20210624UBASEBALL1,20210624,,,0,0
20210623WOOB02021,20210623,OB,WO,3,4
20210624FU1,20210624,,,0,0
20210624UBASEBALL2,20210624,,,0,0
20210624RDS1,20210624,,,0,0
20210624HHSS02021,20210624,SS,HH,3,2
20210624HTKT02021,20210624,KT,HT,6,3
20210622UBASEBALL5,20210623,,,0,0
20210624LGSK02021,20210624,SK,LG,8,5
20210624NCLT02021,20210624,LT,NC,4,6
20210624WOOB02021,20210624,OB,WO,1,2
20210625UBASEBALL1,20210625,,,0,0
20210625KTHH02021,20210625,HH,KT,0,2
20210625HTWO02021,20210625,WO,HT,14,5
20210625LTOB02021,20210625,OB,LT,1,9
20210626HTWO02021,20210626,WO,HT,6,1
20210626LGSS12021,20210626,SS,LG,5,10
20210625SKNC02021,20210625,NC,SK,11,10
20210626KTHH02021,20210626,HH,KT,2,11
20210626LTOB02021,20210626,OB,LT,3,4
20210626SKNC02021,20210626,NC,SK,10,10
20210626LGSS22021,20210626,SS,LG,10,7
20210627HTWO02021,20210627,WO,HT,5,4
20210627LGSS02021,20210627,SS,LG,5,9
20210627KTHH02021,20210627,HH,KT,1,11
20210627SKNC02021,20210627,NC,SK,4,3
20210629RDS1,20210629,,,0,0
20210629NCHT02021,20210629,HT,NC,3,7
20210629LTWO02021,20210629,WO,LT,5,13
20210629SSSK02021,20210629,SK,SS,10,3
20210630SSSK12021,20210630,SK,SS,3,3
20210630KTLG02021,20210630,LG,KT,3,4
20210630RDS1,20210630,,,0,0
20210630LTWO02021,20210630,WO,LT,6,5
20210630OBHH02021,20210630,HH,OB,6,8
20210630SSSK22021,20210630,SK,SS,8,4
20210701KTLG02021,20210701,LG,KT,1,6
20210701RDS1,20210701,,,0,0
20210701LTWO02021,20210701,WO,LT,13,1
20210701NCHT02021,20210701,HT,NC,6,3
20210702RDS1,20210702,,,0,0
20210701SSSK02021,20210701,SK,SS,7,8
20210701OBHH02021,20210701,HH,OB,3,10
